index,type,label,quote
,train,life,"You will meet two kinds of people in life: ones who build you up and ones who tear you down. But in the end, you’ll thank them both."
,train,life,"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style."
,train,life,"If we don’t change, we don’t grow. If we don’t grow, we aren’t really living."
,train,life,"The big lesson in life, baby, is never be scared of anyone or anything."
,train,life,"You choose the life you live. If you don’t like it, it’s on you to change it because no one else is going to do it for you."
,train,life,"It is impossible to live without failing at something, unless you live so cautiously, that you might as well not have lived at all – in which case you fail by default."
,train,life,"Life doesn’t require that we be the best, only that we try our best."
,train,life,"The way I see it, every life is a pile of good things and bad things. The good things don’t always soften the bad things, but vice versa, the bad things don’t always spoil the good things and make them unimportant."
,train,life,"Life isn’t about waiting for the storm to pass, it’s about learning to dance in the rain."
,train,life,I enjoy life when things are happening. I don’t care if it’s good things or bad things. That means you’re alive.
,train,life,There’s more to life than basketball. The most important thing is your family and taking care of each other and loving each other no matter what.
,train,life,"Today, you have 100% of your life left."
,train,life,Nobody who ever gave his best regretted it.
,train,life,Make each day your masterpiece.
,train,life,"Sing like no one’s listening, love like you’ve never been hurt, dance like nobody’s watching, and live like it’s heaven on earth."
,train,life,"You can’t put a limit on anything. The more you dream, the farther you get."
,train,life,"Curiosity about life in all of its aspects, I think, is still the secret of great creative people."
,train,life,"Life is not a problem to be solved, but a reality to be experienced."
,train,life,The unexamined life is not worth living.
,train,life,Turn your wounds into wisdom.
,train,life,Life is what happens when you're busy making other plans.
,train,life,"The way I see it, if you want the rainbow, you gotta put up with the rain."
,train,life,"Do all the good you can, for all the people you can, in all the ways you can, as long as you can."
,train,life,Don’t settle for what life gives you; make life better and build something.
,train,life,"Everybody wants to be famous, but nobody wants to do the work. I live by that. You grind hard so you can play hard. At the end of the day, you put all the work in, and eventually it’ll pay off. It could be in a year, it could be in 30 years. Eventually, your hard work will pay off."
,train,life,"Everything negative – pressure, challenges – is all an opportunity for me to rise."
,train,life,I like criticism. It makes you strong.
,train,life,You never really learn much from hearing yourself speak.
,train,life,"Life imposes things on you that you can’t control, but you still have the choice of how you’re going to live through this."
,train,life,"Life is never easy. There is work to be done and obligations to be met – obligations to truth, to justice, and to liberty."
,train,life,Live for each second without hesitation.
,train,life,Get busy living or get busy dying.
,train,life,"Life is like riding a bicycle. To keep your balance, you must keep moving."
,train,life,"Life is really simple, but men insist on making it complicated."
,train,life,Life is a succession of lessons which must be lived to be understood.
,train,life,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it."
,train,life,"My mama always said, life is like a box of chocolates. You never know what you're gonna get."
,train,life,Watch your thoughts; they become words. Watch your words; they become actions. Watch your actions; they become habits. Watch your habits; they become character. Watch your character; it becomes your destiny.
,train,life,"When we do the best we can, we never know what miracle is wrought in our life or the life of another."
,train,life,The healthiest response to life is joy.
,train,life,"Life is like a coin. You can spend it any way you wish, but you only spend it once."
,train,life,"The best portion of a good man's life is his little nameless, unencumbered acts of kindness and of love."
,train,life,"You only live once, but if you do it right, once is enough."
,train,life,In three words I can sum up everything I've learned about life: It goes on.
,train,life,Life is ten percent what happens to you and ninety percent how you respond to it.
,train,life,Keep calm and carry on.
,train,life,Maybe that’s what life is… a wink of the eye and winking stars.
,train,life,Life is a flower of which love is the honey.
,train,life,"Keep smiling, because life is a beautiful thing and there’s so much to smile about."
,train,life,"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship."
,train,life,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose.
,train,life,"Good friends, good books, and a sleepy conscience: this is the ideal life."
,train,life,Life would be tragic if it weren’t funny.
,train,life,Many of life’s failures are people who did not realize how close they were to success when they gave up.
,train,life,"Live in the sunshine, swim the sea, drink the wild air."
,train,life,The greatest pleasure of life is love.
,train,life,"Life is what we make it, always has been, always will be."
,train,life,Life’s tragedy is that we get old too soon and wise too late.
,train,life,"Life is about making an impact, not making an income."
,train,life,I've missed more than 9000 shots in my career. I've lost almost 300 games. 26 times I've been trusted to take the game winning shot and missed. I've failed over and over and over again in my life. And that is why I succeed.
,train,life,Every strike brings me closer to the next home run.
,train,life,The two most important days in your life are the day you are born and the day you find out why.
,train,life,Life shrinks or expands in proportion to one's courage.
,train,life,"When I was 5 years old, my mother always told me that happiness was the key to life.  When I went to school, they asked me what I wanted to be when I grew up.  I wrote down ‘happy’.  They told me I didn’t understand the assignment, and I told them they didn’t understand life."
,train,life,"If you want to live a happy life, tie it to a goal, not to people or things."
,train,life,Too many of us are not living our dreams because we are living our fears.
,train,life,I believe every human has a finite number of heartbeats. I don't intend to waste any of mine.
,test,life,Live as if you were to die tomorrow. Learn as if you were to live forever.
,test,life,"If you live long enough, you'll make mistakes. But if you learn from them, you'll be a better person."
,test,life,"Life is short, and it is here to be lived."
,test,life,"The longer I live, the more beautiful life becomes."
,test,life,Every moment is a fresh beginning.
,test,life,When you cease to dream you cease to live.
,test,life,"If you spend your whole life waiting for the storm, you'll never enjoy the sunshine."
,test,life,"Don't cry because it's over, smile because it happened."
,test,life,Never let the fear of striking out keep you from playing the game.
,test,life,"If you can do what you do best and be happy, you're further along in life than most people."
,test,life,"We should remember that just as a positive outlook on life can promote good health, so can everyday acts of kindness."
,test,life,"Don't limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve."
,test,life,"It is our choices that show what we truly are, far more than our abilities."
,test,life,"If you're not stubborn, you'll give up on experiments too soon. And if you're not flexible, you'll pound your head against the wall and you won't see a different solution to a problem you're trying to solve."
,test,life,The best way to predict your future is to create it.
,test,life,You must expect great things of yourself before you can do them.
,test,life,"Identity is a prison you can never escape, but the way to redeem your past is not to run from it, but to try to understand it, and use it as a foundation to grow."
,test,life,"There are no mistakes, only opportunities."
,test,life,"It takes 20 years to build a reputation and five minutes to ruin it. If you think about that, you'll do things differently."
,test,life,Money and success don’t change people; they merely amplify what is already there.
,test,life,"As you grow older, you will discover that you have two hands, one for helping yourself, the other for helping others."
,test,life,Sometimes you can't see yourself clearly until you see yourself through the eyes of others.
,test,life,"You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty."
,test,life,"All life is an experiment. The more experiments you make, the better."
,test,life,"Here’s to the crazy ones, the misfits, the rebels, the troublemakers, the round pegs in the square holes … the ones who see things differently — they’re not fond of rules … You can quote them, disagree with them, glorify or vilify them, but the only thing you can’t do is ignore them because they change things … They push the human race forward, and while some may see them as the crazy ones, we see genius …"
,test,life,It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things.
,test,life,"Throughout life people will make you mad, disrespect you and treat you bad. Let God deal with the things they do, cause hate in your heart will consume you too."
,test,life,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment."
,test,life,"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor."
,test,life,"If you love life, don’t waste time, for time is what life is made up of."
,test,life,"Your time is limited, so don’t waste it living someone else’s life. Don’t be trapped by dogma – which is living with the results of other people’s thinking."
,pred,,life is just like a river
